company_code,source_id,section,keyword,category,similarity,rank
600570.SH,AR_600570_SH_2025,management_discussion,智能合约,数据与安全,0.423691,10
600570.SH,AR_600570_SH_2025,management_discussion,推荐系统,视觉与智能决策,0.422437,11
600570.SH,AR_600570_SH_2025,management_discussion,供应链金融,金融业务场景,0.419988,12
300663.SZ,AR_300663_SZ_2025,business_overview,主数据管理,数据与安全,0.589369,1
300663.SZ,AR_300663_SZ_2025,business_overview,推荐系统,视觉与智能决策,0.570892,2
300663.SZ,AR_300663_SZ_2025,business_overview,核心银行系统,金融业务场景,0.568305,3
300663.SZ,AR_300663_SZ_2025,business_overview,监管科技,金融业务场景,0.562998,4
300663.SZ,AR_300663_SZ_2025,business_overview,数据质量,数据与安全,0.562481,5
300663.SZ,AR_300663_SZ_2025,business_overview,银行IT,金融业务场景,0.559716,6
300663.SZ,AR_300663_SZ_2025,business_overview,金融大数据,数据与安全,0.55557,7
300663.SZ,AR_300663_SZ_2025,business_overview,财务SaaS,金融业务场景,0.552336,8
300663.SZ,AR_300663_SZ_2025,business_overview,信贷风控,金融业务场景,0.549877,9
300663.SZ,AR_300663_SZ_2025,business_overview,数字银行,金融业务场景,0.542362,10
300663.SZ,AR_300663_SZ_2025,business_overview,数据资产,数据与安全,0.536517,11
300663.SZ,AR_300663_SZ_2025,business_overview,智能客服,大模型与语言技术,0.533242,12
300663.SZ,AR_300663_SZ_2025,core_competitiveness,推荐系统,视觉与智能决策,0.504546,1
300663.SZ,AR_300663_SZ_2025,core_competitiveness,财务SaaS,金融业务场景,0.503196,2
300663.SZ,AR_300663_SZ_2025,core_competitiveness,提示工程,大模型与语言技术,0.490174,3
300663.SZ,AR_300663_SZ_2025,core_competitiveness,核心银行系统,金融业务场景,0.482685,4
300663.SZ,AR_300663_SZ_2025,core_competitiveness,资产管理,金融业务场景,0.477971,5
300663.SZ,AR_300663_SZ_2025,core_competitiveness,财富管理,金融业务场景,0.473633,6
300663.SZ,AR_300663_SZ_2025,core_competitiveness,数据资产,数据与安全,0.470844,7
300663.SZ,AR_300663_SZ_2025,core_competitiveness,信贷风控,金融业务场景,0.462515,8
300663.SZ,AR_300663_SZ_2025,core_competitiveness,授信审批,金融业务场景,0.458747,9
300663.SZ,AR_300663_SZ_2025,core_competitiveness,监管科技,金融业务场景,0.456124,10
300663.SZ,AR_300663_SZ_2025,core_competitiveness,银行IT,金融业务场景,0.454417,11
300663.SZ,AR_300663_SZ_2025,core_competitiveness,金融云,工程与基础设施,0.451417,12
300663.SZ,AR_300663_SZ_2025,r_and_d,推荐系统,视觉与智能决策,0.53032,1
300663.SZ,AR_300663_SZ_2025,r_and_d,数据资产,数据与安全,0.516755,2
300663.SZ,AR_300663_SZ_2025,r_and_d,主数据管理,数据与安全,0.508548,3
300663.SZ,AR_300663_SZ_2025,r_and_d,财务SaaS,金融业务场景,0.505167,4
300663.SZ,AR_300663_SZ_2025,r_and_d,支付清算,金融业务场景,0.504187,5
300663.SZ,AR_300663_SZ_2025,r_and_d,信贷风控,金融业务场景,0.494512,6
300663.SZ,AR_300663_SZ_2025,r_and_d,数据质量,数据与安全,0.491655,7
300663.SZ,AR_300663_SZ_2025,r_and_d,多方安全计算,数据与安全,0.4907,8
300663.SZ,AR_300663_SZ_2025,r_and_d,税务数字化,金融业务场景,0.483616,9
300663.SZ,AR_300663_SZ_2025,r_and_d,合规科技,金融业务场景,0.483113,10
300663.SZ,AR_300663_SZ_2025,r_and_d,供应链金融,金融业务场景,0.480608,11
300663.SZ,AR_300663_SZ_2025,r_and_d,云计算,工程与基础设施,0.477137,12
300663.SZ,AR_300663_SZ_2025,management_discussion,推荐系统,视觉与智能决策,0.504546,1
300663.SZ,AR_300663_SZ_2025,management_discussion,财务SaaS,金融业务场景,0.503196,2
300663.SZ,AR_300663_SZ_2025,management_discussion,提示工程,大模型与语言技术,0.490174,3
300663.SZ,AR_300663_SZ_2025,management_discussion,核心银行系统,金融业务场景,0.482685,4
300663.SZ,AR_300663_SZ_2025,management_discussion,资产管理,金融业务场景,0.477971,5
300663.SZ,AR_300663_SZ_2025,management_discussion,财富管理,金融业务场景,0.473633,6
300663.SZ,AR_300663_SZ_2025,management_discussion,数据资产,数据与安全,0.470844,7
300663.SZ,AR_300663_SZ_2025,management_discussion,信贷风控,金融业务场景,0.462515,8
300663.SZ,AR_300663_SZ_2025,management_discussion,授信审批,金融业务场景,0.458747,9
300663.SZ,AR_300663_SZ_2025,management_discussion,监管科技,金融业务场景,0.456124,10
300663.SZ,AR_300663_SZ_2025,management_discussion,银行IT,金融业务场景,0.454417,11
300663.SZ,AR_300663_SZ_2025,management_discussion,金融云,工程与基础设施,0.451417,12
002987.SZ,AR_002987_SZ_2025,business_overview,金融大数据,数据与安全,0.58744,1
002987.SZ,AR_002987_SZ_2025,business_overview,信贷风控,金融业务场景,0.5661,2
002987.SZ,AR_002987_SZ_2025,business_overview,银行IT,金融业务场景,0.56467,3
002987.SZ,AR_002987_SZ_2025,business_overview,金融云,工程与基础设施,0.558943,4
002987.SZ,AR_002987_SZ_2025,business_overview,数字银行,金融业务场景,0.557798,5
002987.SZ,AR_002987_SZ_2025,business_overview,核心银行系统,金融业务场景,0.553355,6
002987.SZ,AR_002987_SZ_2025,business_overview,供应链金融,金融业务场景,0.541059,7
002987.SZ,AR_002987_SZ_2025,business_overview,主数据管理,数据与安全,0.537223,8
002987.SZ,AR_002987_SZ_2025,business_overview,数据资产,数据与安全,0.534178,9
002987.SZ,AR_002987_SZ_2025,business_overview,数据质量,数据与安全,0.527948,10
002987.SZ,AR_002987_SZ_2025,business_overview,智能客服,大模型与语言技术,0.51907,11
002987.SZ,AR_002987_SZ_2025,business_overview,信用评分,金融业务场景,0.516945,12
002987.SZ,AR_002987_SZ_2025,core_competitiveness,金融大数据,数据与安全,0.603641,1
002987.SZ,AR_002987_SZ_2025,core_competitiveness,人工智能,人工智能基础,0.546696,2
002987.SZ,AR_002987_SZ_2025,core_competitiveness,数据治理,数据与安全,0.545092,3
002987.SZ,AR_002987_SZ_2025,core_competitiveness,数字银行,金融业务场景,0.540715,4
002987.SZ,AR_002987_SZ_2025,core_competitiveness,主数据管理,数据与安全,0.528327,5
002987.SZ,AR_002987_SZ_2025,core_competitiveness,数据质量,数据与安全,0.528008,6
002987.SZ,AR_002987_SZ_2025,core_competitiveness,核心银行系统,金融业务场景,0.527362,7
002987.SZ,AR_002987_SZ_2025,core_competitiveness,银行IT,金融业务场景,0.527222,8
002987.SZ,AR_002987_SZ_2025,core_competitiveness,金融云,工程与基础设施,0.522954,9
002987.SZ,AR_002987_SZ_2025,core_competitiveness,数据资产,数据与安全,0.519337,10
002987.SZ,AR_002987_SZ_2025,core_competitiveness,智能交易,金融业务场景,0.518134,11
002987.SZ,AR_002987_SZ_2025,core_competitiveness,云计算,工程与基础设施,0.514744,12
002987.SZ,AR_002987_SZ_2025,r_and_d,金融大数据,数据与安全,0.603641,1
002987.SZ,AR_002987_SZ_2025,r_and_d,人工智能,人工智能基础,0.546696,2
002987.SZ,AR_002987_SZ_2025,r_and_d,数据治理,数据与安全,0.545092,3
002987.SZ,AR_002987_SZ_2025,r_and_d,数字银行,金融业务场景,0.540715,4
002987.SZ,AR_002987_SZ_2025,r_and_d,主数据管理,数据与安全,0.528327,5
002987.SZ,AR_002987_SZ_2025,r_and_d,数据质量,数据与安全,0.528008,6
002987.SZ,AR_002987_SZ_2025,r_and_d,核心银行系统,金融业务场景,0.527362,7
002987.SZ,AR_002987_SZ_2025,r_and_d,银行IT,金融业务场景,0.527222,8
002987.SZ,AR_002987_SZ_2025,r_and_d,金融云,工程与基础设施,0.522954,9
002987.SZ,AR_002987_SZ_2025,r_and_d,数据资产,数据与安全,0.519337,10
002987.SZ,AR_002987_SZ_2025,r_and_d,智能交易,金融业务场景,0.518134,11
002987.SZ,AR_002987_SZ_2025,r_and_d,云计算,工程与基础设施,0.514744,12
002987.SZ,AR_002987_SZ_2025,management_discussion,信贷风控,金融业务场景,0.494759,1
002987.SZ,AR_002987_SZ_2025,management_discussion,数据资产,数据与安全,0.492168,2
002987.SZ,AR_002987_SZ_2025,management_discussion,多方安全计算,数据与安全,0.490914,3
002987.SZ,AR_002987_SZ_2025,management_discussion,提示工程,大模型与语言技术,0.4796,4
002987.SZ,AR_002987_SZ_2025,management_discussion,信息抽取,大模型与语言技术,0.47342,5
002987.SZ,AR_002987_SZ_2025,management_discussion,资产管理,金融业务场景,0.47045,6
002987.SZ,AR_002987_SZ_2025,management_discussion,金融大数据,数据与安全,0.458565,7
002987.SZ,AR_002987_SZ_2025,management_discussion,信用评分,金融业务场景,0.45695,8
002987.SZ,AR_002987_SZ_2025,management_discussion,授信审批,金融业务场景,0.456129,9
002987.SZ,AR_002987_SZ_2025,management_discussion,财务SaaS,金融业务场景,0.45109,10
002987.SZ,AR_002987_SZ_2025,management_discussion,推荐系统,视觉与智能决策,0.448146,11
002987.SZ,AR_002987_SZ_2025,management_discussion,供应链金融,金融业务场景,0.442671,12
603927.SH,AR_603927_SH_2025,business_overview,数据质量,数据与安全,0.553488,1
603927.SH,AR_603927_SH_2025,business_overview,资产管理,金融业务场景,0.545824,2
603927.SH,AR_603927_SH_2025,business_overview,推荐系统,视觉与智能决策,0.545088,3
603927.SH,AR_603927_SH_2025,business_overview,合规科技,金融业务场景,0.543521,4
603927.SH,AR_603927_SH_2025,business_overview,主数据管理,数据与安全,0.530861,5
603927.SH,AR_603927_SH_2025,business_overview,监管科技,金融业务场景,0.526248,6
603927.SH,AR_603927_SH_2025,business_overview,授信审批,金融业务场景,0.523548,7
603927.SH,AR_603927_SH_2025,business_overview,财务SaaS,金融业务场景,0.51558,8
603927.SH,AR_603927_SH_2025,business_overview,核心银行系统,金融业务场景,0.5155,9
603927.SH,AR_603927_SH_2025,business_overview,银行IT,金融业务场景,0.511061,10
603927.SH,AR_603927_SH_2025,business_overview,身份认证,数据与安全,0.50741,11
603927.SH,AR_603927_SH_2025,business_overview,贷后管理,金融业务场景,0.50657,12
603927.SH,AR_603927_SH_2025,core_competitiveness,保险科技,金融业务场景,0.618762,1
603927.SH,AR_603927_SH_2025,core_competitiveness,合规科技,金融业务场景,0.570853,2
603927.SH,AR_603927_SH_2025,core_competitiveness,智能风控,金融业务场景,0.570294,3
603927.SH,AR_603927_SH_2025,core_competitiveness,财务SaaS,金融业务场景,0.568898,4
603927.SH,AR_603927_SH_2025,core_competitiveness,监管科技,金融业务场景,0.567557,5
603927.SH,AR_603927_SH_2025,core_competitiveness,主数据管理,数据与安全,0.56246,6
603927.SH,AR_603927_SH_2025,core_competitiveness,智能客服,大模型与语言技术,0.558143,7
603927.SH,AR_603927_SH_2025,core_competitiveness,智能理赔,金融业务场景,0.555073,8
603927.SH,AR_603927_SH_2025,core_competitiveness,AIOps,工程与基础设施,0.554782,9
603927.SH,AR_603927_SH_2025,core_competitiveness,人工智能,人工智能基础,0.546036,10
603927.SH,AR_603927_SH_2025,core_competitiveness,智能合约,数据与安全,0.546005,11
603927.SH,AR_603927_SH_2025,core_competitiveness,推荐系统,视觉与智能决策,0.54115,12
603927.SH,AR_603927_SH_2025,r_and_d,保险科技,金融业务场景,0.695328,1
603927.SH,AR_603927_SH_2025,r_and_d,合规科技,金融业务场景,0.538691,2
603927.SH,AR_603927_SH_2025,r_and_d,多方安全计算,数据与安全,0.534321,3
603927.SH,AR_603927_SH_2025,r_and_d,财务SaaS,金融业务场景,0.529871,4
603927.SH,AR_603927_SH_2025,r_and_d,智能客服,大模型与语言技术,0.50791,5
603927.SH,AR_603927_SH_2025,r_and_d,智能理赔,金融业务场景,0.506589,6
603927.SH,AR_603927_SH_2025,r_and_d,金融云,工程与基础设施,0.503921,7
603927.SH,AR_603927_SH_2025,r_and_d,监管科技,金融业务场景,0.498269,8
603927.SH,AR_603927_SH_2025,r_and_d,金融大数据,数据与安全,0.497822,9
603927.SH,AR_603927_SH_2025,r_and_d,推荐系统,视觉与智能决策,0.496019,10
603927.SH,AR_603927_SH_2025,r_and_d,信贷风控,金融业务场景,0.492492,11
603927.SH,AR_603927_SH_2025,r_and_d,财务共享,金融业务场景,0.491613,12
603927.SH,AR_603927_SH_2025,management_discussion,财务SaaS,金融业务场景,0.532021,1
603927.SH,AR_603927_SH_2025,management_discussion,信贷风控,金融业务场景,0.518627,2
603927.SH,AR_603927_SH_2025,management_discussion,保险科技,金融业务场景,0.50119,3
603927.SH,AR_603927_SH_2025,management_discussion,资产管理,金融业务场景,0.496081,4
603927.SH,AR_603927_SH_2025,management_discussion,数据资产,数据与安全,0.488723,5
603927.SH,AR_603927_SH_2025,management_discussion,财富管理,金融业务场景,0.470671,6
603927.SH,AR_603927_SH_2025,management_discussion,银行IT,金融业务场景,0.470306,7
603927.SH,AR_603927_SH_2025,management_discussion,核心银行系统,金融业务场景,0.467137,8
603927.SH,AR_603927_SH_2025,management_discussion,提示工程,大模型与语言技术,0.46607,9
603927.SH,AR_603927_SH_2025,management_discussion,监管科技,金融业务场景,0.459041,10
603927.SH,AR_603927_SH_2025,management_discussion,金融云,工程与基础设施,0.458931,11
603927.SH,AR_603927_SH_2025,management_discussion,财务共享,金融业务场景,0.454038,12
300033.SZ,AR_300033_SZ_2025,business_overview,金融大数据,数据与安全,0.609887,1
300033.SZ,AR_300033_SZ_2025,business_overview,数据质量,数据与安全,0.597752,2
300033.SZ,AR_300033_SZ_2025,business_overview,数据治理,数据与安全,0.589945,3
300033.SZ,AR_300033_SZ_2025,business_overview,主数据管理,数据与安全,0.582579,4
300033.SZ,AR_300033_SZ_2025,business_overview,数据资产,数据与安全,0.575439,5
300033.SZ,AR_300033_SZ_2025,business_overview,核心银行系统,金融业务场景,0.547412,6
300033.SZ,AR_300033_SZ_2025,business_overview,金融云,工程与基础设施,0.533938,7
300033.SZ,AR_300033_SZ_2025,business_overview,数字银行,金融业务场景,0.530895,8
300033.SZ,AR_300033_SZ_2025,business_overview,数据血缘,数据与安全,0.529944,9
300033.SZ,AR_300033_SZ_2025,business_overview,智能客服,大模型与语言技术,0.529903,10
300033.SZ,AR_300033_SZ_2025,business_overview,合规科技,金融业务场景,0.527023,11
300033.SZ,AR_300033_SZ_2025,business_overview,数据仓库,数据与安全,0.525945,12
300033.SZ,AR_300033_SZ_2025,core_competitiveness,主数据管理,数据与安全,0.607064,1
300033.SZ,AR_300033_SZ_2025,core_competitiveness,数据治理,数据与安全,0.605636,2
300033.SZ,AR_300033_SZ_2025,core_competitiveness,合规科技,金融业务场景,0.60307,3
300033.SZ,AR_300033_SZ_2025,core_competitiveness,金融大数据,数据与安全,0.59729,4
300033.SZ,AR_300033_SZ_2025,core_competitiveness,数据质量,数据与安全,0.585574,5
300033.SZ,AR_300033_SZ_2025,core_competitiveness,数据资产,数据与安全,0.570535,6
300033.SZ,AR_300033_SZ_2025,core_competitiveness,网络安全,数据与安全,0.5683,7
300033.SZ,AR_300033_SZ_2025,core_competitiveness,金融云,工程与基础设施,0.543879,8
300033.SZ,AR_300033_SZ_2025,core_competitiveness,信贷风控,金融业务场景,0.540803,9
300033.SZ,AR_300033_SZ_2025,core_competitiveness,数据血缘,数据与安全,0.53815,10
300033.SZ,AR_300033_SZ_2025,core_competitiveness,多方安全计算,数据与安全,0.536597,11
300033.SZ,AR_300033_SZ_2025,core_competitiveness,核心银行系统,金融业务场景,0.534233,12
300033.SZ,AR_300033_SZ_2025,r_and_d,核心银行系统,金融业务场景,0.593396,1
300033.SZ,AR_300033_SZ_2025,r_and_d,金融大数据,数据与安全,0.580002,2
300033.SZ,AR_300033_SZ_2025,r_and_d,金融云,工程与基础设施,0.569202,3
300033.SZ,AR_300033_SZ_2025,r_and_d,主数据管理,数据与安全,0.567193,4
300033.SZ,AR_300033_SZ_2025,r_and_d,信贷风控,金融业务场景,0.539779,5
300033.SZ,AR_300033_SZ_2025,r_and_d,数据资产,数据与安全,0.536071,6
300033.SZ,AR_300033_SZ_2025,r_and_d,供应链金融,金融业务场景,0.535275,7
300033.SZ,AR_300033_SZ_2025,r_and_d,量化投资,金融业务场景,0.524969,8
300033.SZ,AR_300033_SZ_2025,r_and_d,银行IT,金融业务场景,0.524915,9
300033.SZ,AR_300033_SZ_2025,r_and_d,财务SaaS,金融业务场景,0.521031,10
300033.SZ,AR_300033_SZ_2025,r_and_d,数字银行,金融业务场景,0.519798,11
300033.SZ,AR_300033_SZ_2025,r_and_d,数据质量,数据与安全,0.519144,12
300033.SZ,AR_300033_SZ_2025,management_discussion,核心银行系统,金融业务场景,0.479305,1
300033.SZ,AR_300033_SZ_2025,management_discussion,数据资产,数据与安全,0.45359,2
300033.SZ,AR_300033_SZ_2025,management_discussion,金融大数据,数据与安全,0.441359,3
300033.SZ,AR_300033_SZ_2025,management_discussion,信贷风控,金融业务场景,0.441291,4
300033.SZ,AR_300033_SZ_2025,management_discussion,金融云,工程与基础设施,0.434041,5
300033.SZ,AR_300033_SZ_2025,management_discussion,智能问答,大模型与语言技术,0.432868,6
300033.SZ,AR_300033_SZ_2025,management_discussion,合规科技,金融业务场景,0.429031,7
300033.SZ,AR_300033_SZ_2025,management_discussion,财务SaaS,金融业务场景,0.429015,8
300033.SZ,AR_300033_SZ_2025,management_discussion,授信审批,金融业务场景,0.428164,9
300033.SZ,AR_300033_SZ_2025,management_discussion,推荐系统,视觉与智能决策,0.427653,10
300033.SZ,AR_300033_SZ_2025,management_discussion,安全运营,数据与安全,0.427489,11
300033.SZ,AR_300033_SZ_2025,management_discussion,资产管理,金融业务场景,0.426676,12
300059.SZ,AR_300059_SZ_2025,business_overview,金融大数据,数据与安全,0.640629,1
300059.SZ,AR_300059_SZ_2025,business_overview,财富管理,金融业务场景,0.625754,2
300059.SZ,AR_300059_SZ_2025,business_overview,数据资产,数据与安全,0.591329,3
300059.SZ,AR_300059_SZ_2025,business_overview,金融云,工程与基础设施,0.590622,4
300059.SZ,AR_300059_SZ_2025,business_overview,财务SaaS,金融业务场景,0.582847,5
300059.SZ,AR_300059_SZ_2025,business_overview,供应链金融,金融业务场景,0.562824,6
300059.SZ,AR_300059_SZ_2025,business_overview,数字银行,金融业务场景,0.557515,7
300059.SZ,AR_300059_SZ_2025,business_overview,量化投资,金融业务场景,0.554628,8
300059.SZ,AR_300059_SZ_2025,business_overview,数据仓库,数据与安全,0.543496,9
300059.SZ,AR_300059_SZ_2025,business_overview,资产管理,金融业务场景,0.542614,10
300059.SZ,AR_300059_SZ_2025,business_overview,云计算,工程与基础设施,0.540018,11
300059.SZ,AR_300059_SZ_2025,business_overview,数据质量,数据与安全,0.539364,12
300059.SZ,AR_300059_SZ_2025,core_competitiveness,财富管理,金融业务场景,0.635806,1
300059.SZ,AR_300059_SZ_2025,core_competitiveness,资产管理,金融业务场景,0.603372,2
300059.SZ,AR_300059_SZ_2025,core_competitiveness,量化投资,金融业务场景,0.567578,3
300059.SZ,AR_300059_SZ_2025,core_competitiveness,业财一体化,金融业务场景,0.544387,4
300059.SZ,AR_300059_SZ_2025,core_competitiveness,数据资产,数据与安全,0.538955,5
300059.SZ,AR_300059_SZ_2025,core_competitiveness,财务SaaS,金融业务场景,0.518833,6
300059.SZ,AR_300059_SZ_2025,core_competitiveness,多方安全计算,数据与安全,0.508807,7
300059.SZ,AR_300059_SZ_2025,core_competitiveness,数字银行,金融业务场景,0.504381,8
300059.SZ,AR_300059_SZ_2025,core_competitiveness,供应链金融,金融业务场景,0.493284,9
300059.SZ,AR_300059_SZ_2025,core_competitiveness,开放银行,金融业务场景,0.493182,10
300059.SZ,AR_300059_SZ_2025,core_competitiveness,财务共享,金融业务场景,0.492546,11
300059.SZ,AR_300059_SZ_2025,core_competitiveness,银行IT,金融业务场景,0.487603,12
300059.SZ,AR_300059_SZ_2025,r_and_d,供应链金融,金融业务场景,0.519796,1
300059.SZ,AR_300059_SZ_2025,r_and_d,多方安全计算,数据与安全,0.516118,2
300059.SZ,AR_300059_SZ_2025,r_and_d,财富管理,金融业务场景,0.511704,3
300059.SZ,AR_300059_SZ_2025,r_and_d,信贷风控,金融业务场景,0.506522,4
300059.SZ,AR_300059_SZ_2025,r_and_d,数据资产,数据与安全,0.502694,5
300059.SZ,AR_300059_SZ_2025,r_and_d,财务SaaS,金融业务场景,0.499252,6
300059.SZ,AR_300059_SZ_2025,r_and_d,资产管理,金融业务场景,0.48084,7
300059.SZ,AR_300059_SZ_2025,r_and_d,主数据管理,数据与安全,0.477489,8
300059.SZ,AR_300059_SZ_2025,r_and_d,数据质量,数据与安全,0.466804,9
300059.SZ,AR_300059_SZ_2025,r_and_d,支付清算,金融业务场景,0.465524,10
300059.SZ,AR_300059_SZ_2025,r_and_d,财务共享,金融业务场景,0.464604,11
300059.SZ,AR_300059_SZ_2025,r_and_d,智能客服,大模型与语言技术,0.462462,12
300059.SZ,AR_300059_SZ_2025,management_discussion,财富管理,金融业务场景,0.574156,1
300059.SZ,AR_300059_SZ_2025,management_discussion,财务SaaS,金融业务场景,0.54,2
300059.SZ,AR_300059_SZ_2025,management_discussion,数据资产,数据与安全,0.523336,3
300059.SZ,AR_300059_SZ_2025,management_discussion,资产管理,金融业务场景,0.510862,4
300059.SZ,AR_300059_SZ_2025,management_discussion,财务共享,金融业务场景,0.485349,5
300059.SZ,AR_300059_SZ_2025,management_discussion,金融大数据,数据与安全,0.484665,6
300059.SZ,AR_300059_SZ_2025,management_discussion,多方安全计算,数据与安全,0.470713,7
300059.SZ,AR_300059_SZ_2025,management_discussion,业财一体化,金融业务场景,0.46526,8
300059.SZ,AR_300059_SZ_2025,management_discussion,量化投资,金融业务场景,0.464735,9
300059.SZ,AR_300059_SZ_2025,management_discussion,智能问答,大模型与语言技术,0.457793,10
300059.SZ,AR_300059_SZ_2025,management_discussion,信贷风控,金融业务场景,0.453973,11
300059.SZ,AR_300059_SZ_2025,management_discussion,金融云,工程与基础设施,0.452299,12
600446.SH,AR_600446_SH_2025,business_overview,数字银行,金融业务场景,0.575268,1
600446.SH,AR_600446_SH_2025,business_overview,金融大数据,数据与安全,0.570633,2
600446.SH,AR_600446_SH_2025,business_overview,银行IT,金融业务场景,0.567952,3
600446.SH,AR_600446_SH_2025,business_overview,核心银行系统,金融业务场景,0.567535,4
600446.SH,AR_600446_SH_2025,business_overview,数据资产,数据与安全,0.560832,5
600446.SH,AR_600446_SH_2025,business_overview,合规科技,金融业务场景,0.544828,6
600446.SH,AR_600446_SH_2025,business_overview,金融云,工程与基础设施,0.541106,7
600446.SH,AR_600446_SH_2025,business_overview,数据质量,数据与安全,0.537691,8
600446.SH,AR_600446_SH_2025,business_overview,量化投资,金融业务场景,0.53635,9
600446.SH,AR_600446_SH_2025,business_overview,绿色金融,金融业务场景,0.535698,10
600446.SH,AR_600446_SH_2025,business_overview,手机银行,金融业务场景,0.533406,11
600446.SH,AR_600446_SH_2025,business_overview,供应链金融,金融业务场景,0.530339,12
600446.SH,AR_600446_SH_2025,core_competitiveness,智能交易,金融业务场景,0.583225,1
600446.SH,AR_600446_SH_2025,core_competitiveness,智能客服,大模型与语言技术,0.582996,2
600446.SH,AR_600446_SH_2025,core_competitiveness,人工智能,人工智能基础,0.575102,3
600446.SH,AR_600446_SH_2025,core_competitiveness,智能问答,大模型与语言技术,0.567242,4
600446.SH,AR_600446_SH_2025,core_competitiveness,智能合约,数据与安全,0.56168,5
600446.SH,AR_600446_SH_2025,core_competitiveness,AIOps,工程与基础设施,0.549135,6
600446.SH,AR_600446_SH_2025,core_competitiveness,智能理赔,金融业务场景,0.542327,7
600446.SH,AR_600446_SH_2025,core_competitiveness,数字银行,金融业务场景,0.535389,8
600446.SH,AR_600446_SH_2025,core_competitiveness,智能投顾,金融业务场景,0.526516,9
600446.SH,AR_600446_SH_2025,core_competitiveness,智能风控,金融业务场景,0.525025,10
