recommendation_rank,job_id,company_name,company_code,job_title,source_sheet,source_row,matched_profile_skills,simulated_skill_fit_reward,bandit_q_value,selection_count,target_profile,reward_definition,method_boundary
11,JOB_0167,天阳科技,300872.SZ,金融测试工程师,9-12,6,Python、SQL、金融,0.375,0.276696,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
12,JOB_0012,同花顺,300033.SZ,NLP大模型算法专家（总部岗位）,1-4,14,Python、机器学习、大模型,0.375,0.25212,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
13,JOB_0147,新致软件,688590.SH,中级测试工程师,13-15,6,Python、SQL、金融,0.375,0.25212,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
14,JOB_0151,科大讯飞,002230.SZ,高级 Java 开发工程师（科大讯飞）,13-15,10,Python、SQL、风控,0.375,0.25212,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
15,JOB_0187,中科软,603927.SH,大数据开发工程师,9-12,26,Python、SQL、数据分析,0.375,0.25212,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
16,JOB_0227,宇信科技,300674.SZ,【实习】大模型应用开发工程师（2027届，有留用机会）(J12974),5-8,34,Python、金融、大模型,0.375,0.25212,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
17,JOB_0204,宇信科技,300674.SZ,中级业务分析师(J11833),5-8,11,SQL、金融,0.25,0.25,372,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
18,JOB_0022,同花顺,300033.SZ,量化研究员,1-4,24,金融、机器学习、大模型,0.375,0.2214,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
19,JOB_0060,同花顺,300033.SZ,AI Agent工程师,1-4,62,Python、机器学习、大模型,0.375,0.2214,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
20,JOB_0188,中科软,603927.SH,数据分析师,9-12,27,Python、SQL、数据分析,0.375,0.2214,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
21,JOB_0221,宇信科技,300674.SZ,【校招-高潜人才】大模型应用开发工程师(J12429),5-8,28,Python、金融、大模型,0.375,0.2214,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
22,JOB_0113,东方财富,300059.SZ,JAVA服务端开发工程师 (财务系统-外包),1-4,116,SQL、金融,0.25,0.208057,8,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
23,JOB_0115,东方财富,300059.SZ,数据编辑专员,1-4,118,SQL、金融,0.25,0.208057,8,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
24,JOB_0061,同花顺,300033.SZ,Agent开发工程师,1-4,63,Python、大模型,0.25,0.197571,7,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
25,JOB_0186,中科软,603927.SH,Python 开发工程师,9-12,25,Python、SQL,0.25,0.197571,7,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
26,JOB_0229,宇信科技,300674.SZ,【实习】大数据开发工程师（有转正机会）(J12571),5-8,36,SQL、金融,0.25,0.197571,7,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
27,JOB_0242,神州信息,000555.SZ,27届提前批-Java开发工程师（西安）(J21822),5-8,49,SQL、金融,0.25,0.197571,7,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
28,JOB_0017,同花顺,300033.SZ,数据录入,1-4,19,SQL、金融,0.25,0.184464,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
29,JOB_0056,同花顺,300033.SZ,搜索算法专家,1-4,58,Python、机器学习,0.25,0.184464,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
30,JOB_0224,宇信科技,300674.SZ,【校招】JAVA开发工程师(J12462),5-8,31,SQL、金融,0.25,0.184464,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
31,JOB_0125,金证股份,600446.SH,Python开发,1-4,129,Python、SQL、金融,0.375,0.183,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
32,JOB_0152,科大讯飞,002230.SZ,智慧信贷研发组长（科大讯飞）,13-15,11,Python、金融、风控,0.375,0.183,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
33,JOB_0155,拓尔思,300229.SZ,初级数据分析师（正式）,13-15,14,Python、SQL、金融、数据分析,0.5,0.18,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
34,JOB_0023,同花顺,300033.SZ,多模态算法工程师,1-4,25,Python、大模型,0.25,0.16808,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
35,JOB_0047,同花顺,300033.SZ,量化策略研发工程师,1-4,49,Python、SQL,0.25,0.16808,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
36,JOB_0095,东方财富,300059.SZ,算法实习生（大模型/Agent方向）,1-4,98,Python、大模型,0.25,0.16808,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
37,JOB_0096,东方财富,300059.SZ,算法实习生-大模型/Agent方向,1-4,99,Python、大模型,0.25,0.16808,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
38,JOB_0019,同花顺,300033.SZ,大模型算法工程师（大模型Agent方向）,1-4,21,Python、大模型,0.25,0.1476,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
39,JOB_0035,同花顺,300033.SZ,agent算法/合伙人/专家（多模态/大模型）,1-4,37,金融、大模型,0.25,0.1476,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
40,JOB_0067,同花顺,300033.SZ,AI算法合伙人/专家/负责人,1-4,69,金融、大模型,0.25,0.1476,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
41,JOB_0121,东方财富,300059.SZ,AI应用工程师（证券）(MJ002957),1-4,124,Python、大模型,0.25,0.1476,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
42,JOB_0134,金证股份,600446.SH,C/C++开发工程师,1-4,138,SQL、金融,0.25,0.1476,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
43,JOB_0154,拓尔思,300229.SZ,金融行业大客户经理,13-15,13,金融、风控,0.25,0.1476,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
44,JOB_0218,宇信科技,300674.SZ,中级测试工程师(J11889),5-8,25,Python、SQL,0.25,0.1476,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
45,JOB_0225,宇信科技,300674.SZ,【校招】大数据开发工程师(J12463),5-8,32,SQL、金融,0.25,0.1476,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
46,JOB_0051,同花顺,300033.SZ,博士算法研究员,1-4,53,Python、机器学习、大模型,0.375,0.135,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
47,JOB_0057,同花顺,300033.SZ,大模型算法工程师,1-4,59,Python、大模型,0.25,0.122,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
48,JOB_0069,同花顺,300033.SZ,大模型基座算法工程师,1-4,71,金融、大模型,0.25,0.122,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
49,JOB_0073,同花顺,300033.SZ,高级AI开发/主管,1-4,75,Python、SQL,0.25,0.122,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
50,JOB_0120,东方财富,300059.SZ,算法工程师（推荐/搜索方向）,1-4,123,Python、机器学习,0.25,0.122,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
51,JOB_0150,新致软件,688590.SH,Java 实习生,13-15,9,Python、SQL,0.25,0.122,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
52,JOB_0215,宇信科技,300674.SZ,中级软件工程师(J11969),5-8,22,Python、SQL,0.25,0.122,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
53,JOB_0243,神州信息,000555.SZ,27届提前批-Java开发工程师（北京）(J21821),5-8,50,SQL、金融,0.25,0.122,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
54,JOB_0002,恒生电子,600570.SH,智能体开发工程师-研究院,1-4,3,Python,0.125,0.098786,7,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
55,JOB_0045,同花顺,300033.SZ,Java开发工程师,1-4,47,SQL,0.125,0.098786,7,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
56,JOB_0079,同花顺,300033.SZ,大模型推理内核工程师（GPU算力）,1-4,81,大模型,0.125,0.098786,7,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
57,JOB_0092,同花顺,300033.SZ,算法专家（AIME人才计划）,1-4,94,大模型,0.125,0.098786,7,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
58,JOB_0110,东方财富,300059.SZ,服务端开发工程师 (Java),1-4,113,金融,0.125,0.098786,7,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
59,JOB_0015,同花顺,300033.SZ,大模型推理加速专家,1-4,17,大模型,0.125,0.092232,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
60,JOB_0028,同花顺,300033.SZ,大模型算法工程师,1-4,30,大模型,0.125,0.092232,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
61,JOB_0066,同花顺,300033.SZ,算法博士专项【NLP/语音/多模态/图像】,1-4,68,大模型,0.125,0.092232,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
62,JOB_0074,同花顺,300033.SZ,算法工程师（AIME人才计划）,1-4,76,大模型,0.125,0.092232,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
63,JOB_0075,同花顺,300033.SZ,AIME人才计划算法（LLM方向）,1-4,77,大模型,0.125,0.092232,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
64,JOB_0118,东方财富,300059.SZ,算法工程师 (大模型方向),1-4,121,大模型,0.125,0.092232,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
65,JOB_0129,金证股份,600446.SH,高级Java开发工程师（深圳国泰海通项目）,1-4,133,SQL,0.125,0.092232,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
66,JOB_0135,金证股份,600446.SH,Java开发工程师（深圳国泰海通）,1-4,139,SQL,0.125,0.092232,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
67,JOB_0139,金证股份,600446.SH,Java开发工程师（上海国泰海通项目）,1-4,143,SQL,0.125,0.092232,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
68,JOB_0172,天阳科技,300872.SZ,ETL 开发工程师,9-12,11,SQL,0.125,0.092232,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
69,JOB_0194,中科软,603927.SH,业务经理,9-12,33,数据分析,0.125,0.092232,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
70,JOB_0222,宇信科技,300674.SZ,【校招-高潜人才】业务分析师(J12428),5-8,29,金融,0.125,0.092232,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
71,JOB_0233,神州信息,000555.SZ,软件工程师(J22429),5-8,40,SQL,0.125,0.092232,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
72,JOB_0020,同花顺,300033.SZ,实习算法工程师【博士专项】,1-4,22,Python、大模型,0.25,0.09,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
73,JOB_0086,同花顺,300033.SZ,AI infra算法工程师,1-4,88,Python、大模型,0.25,0.09,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
74,JOB_0145,新致软件,688590.SH,测试工程师,13-15,4,Python、金融,0.25,0.09,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
75,JOB_0228,宇信科技,300674.SZ,【实习】JAVA开发工程师（有转正机会）(J12753),5-8,35,SQL、金融,0.25,0.09,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
76,JOB_0004,恒生电子,600570.SH,C++开发工程师-经纪业务,1-4,5,SQL,0.125,0.08404,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
77,JOB_0008,恒生电子,600570.SH,Java开发工程师-机构服务,1-4,9,SQL,0.125,0.08404,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
78,JOB_0021,同花顺,300033.SZ,推广推荐算法工程师,1-4,23,大模型,0.125,0.08404,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
79,JOB_0063,同花顺,300033.SZ,agent工程开发,1-4,65,大模型,0.125,0.08404,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
