company_code,category,mean_similarity,matched_keywords,evidence_sections,category_rank,retained_category_zscore,sensitivity_rank
002987.SZ,工程与基础设施,0.5268678,金融云、云计算,business_overview、core_competitiveness、r_and_d,3,0.369121,5
002987.SZ,金融业务场景,0.5149421000000001,信贷风控、银行IT、数字银行、核心银行系统、供应链金融、信用评分、智能交易、资产管理、授信审批、财务SaaS,business_overview、core_competitiveness、r_and_d、management_discussion,4,0.41408,4
002987.SZ,大模型与语言技术,0.4906966666666667,智能客服、提示工程、信息抽取,business_overview、management_discussion,5,0.226953,6
002987.SZ,视觉与智能决策,0.448146,推荐系统,management_discussion,6,0.526282,3
300033.SZ,数据与安全,0.5520675,金融大数据、数据质量、数据治理、主数据管理、数据资产、数据血缘、数据仓库、网络安全、多方安全计算、安全运营,business_overview、core_competitiveness、r_and_d、management_discussion,1,1.591974,1
300033.SZ,工程与基础设施,0.520265,金融云,business_overview、core_competitiveness、r_and_d、management_discussion,2,0.320256,3
300033.SZ,金融业务场景,0.5092674210526316,核心银行系统、数字银行、合规科技、信贷风控、供应链金融、量化投资、银行IT、财务SaaS、授信审批、资产管理,business_overview、core_competitiveness、r_and_d、management_discussion,3,0.182457,4
300033.SZ,大模型与语言技术,0.4813855,智能客服、智能问答,business_overview、management_discussion,4,0.155119,5
300033.SZ,视觉与智能决策,0.427653,推荐系统,management_discussion,5,0.440344,2
300059.SZ,工程与基础设施,0.5276463333333333,金融云、云计算,business_overview、management_discussion,1,0.374883,3
300059.SZ,金融业务场景,0.5236577,财富管理、财务SaaS、供应链金融、数字银行、量化投资、资产管理、业财一体化、开放银行、财务共享、银行IT、信贷风控、支付清算,business_overview、core_competitiveness、r_and_d、management_discussion,2,0.769824,1
300059.SZ,数据与安全,0.5234153076923077,金融大数据、数据资产、数据仓库、数据质量、多方安全计算、主数据管理,business_overview、core_competitiveness、r_and_d、management_discussion,3,0.605404,2
300059.SZ,大模型与语言技术,0.4601275,智能客服、智能问答,r_and_d、management_discussion,4,-0.008883,4
300229.SZ,人工智能基础,0.5350118,人工智能、深度学习、AIGC,core_competitiveness、r_and_d,1,0.906538,1
300229.SZ,视觉与智能决策,0.5337646666666667,决策引擎、推荐系统,core_competitiveness、r_and_d,2,0.88533,2
300229.SZ,大模型与语言技术,0.49960525,信息抽取、提示工程、智能问答、智能客服,business_overview、core_competitiveness、r_and_d、management_discussion,3,0.295682,3
300229.SZ,工程与基础设施,0.48091085714285714,信创、云计算、AIOps,business_overview、core_competitiveness、r_and_d、management_discussion,4,0.029006,4
300229.SZ,数据与安全,0.4734665714285714,主数据管理、数据资产、智能合约,business_overview、core_competitiveness、r_and_d、management_discussion,5,-1.114461,5
300229.SZ,金融业务场景,0.4699695555555556,资产管理、信贷风控、信用评分、量化投资、财富管理、核心银行系统、智能交易、智能风控、智能投顾、智能理赔,business_overview、core_competitiveness、r_and_d、management_discussion,6,-1.421559,6
300348.SZ,工程与基础设施,0.4898395,国产化、AIOps,business_overview、core_competitiveness,1,0.095085,2
300348.SZ,金融业务场景,0.4838784444444444,量化投资、财务SaaS、资产管理、财务共享、财富管理、合规科技、业财一体化、支付清算、智能交易、银行IT、数字银行、授信审批、税务数字化,business_overview、core_competitiveness、r_and_d、management_discussion,2,-0.853842,4
300348.SZ,人工智能基础,0.48349133333333333,深度学习、人工智能、AIGC,business_overview、core_competitiveness、r_and_d,3,0.720063,1
300348.SZ,大模型与语言技术,0.4722752,智能客服、智能问答、提示工程,core_competitiveness、r_and_d、management_discussion,4,0.084834,3
300348.SZ,数据与安全,0.462566875,数据资产、数据质量、智能合约、主数据管理、金融大数据,business_overview、core_competitiveness、r_and_d、management_discussion,5,-1.489766,6
300377.SZ,视觉与智能决策,0.498984,时序预测,management_discussion,1,0.739475,1
300377.SZ,数据与安全,0.4875328,实时计算、多方安全计算、数据资产、流式计算、数据质量,business_overview、core_competitiveness、r_and_d、management_discussion,2,-0.630124,3
300377.SZ,大模型与语言技术,0.4856125,信息抽取,business_overview、core_competitiveness、r_and_d、management_discussion,3,0.18773,2
300377.SZ,金融业务场景,0.4835299393939394,财务SaaS、量化投资、信用评分、支付清算、业财一体化、信贷风控、智能理赔、资产管理、财务共享、财富管理、智能交易、贷后管理、银行IT、授信审批,business_overview、core_competitiveness、r_and_d、management_discussion,4,-0.868066,4
300663.SZ,视觉与智能决策,0.527576,推荐系统,business_overview、core_competitiveness、r_and_d、management_discussion,1,0.859378,1
300663.SZ,数据与安全,0.5193283,主数据管理、数据质量、金融大数据、数据资产、多方安全计算,business_overview、core_competitiveness、r_and_d、management_discussion,2,0.464678,2
300663.SZ,大模型与语言技术,0.50453,智能客服、提示工程,business_overview、core_competitiveness、management_discussion,3,0.333675,3
300663.SZ,金融业务场景,0.4937633214285714,核心银行系统、监管科技、银行IT、财务SaaS、信贷风控、数字银行、资产管理、财富管理、授信审批、支付清算、税务数字化、合规科技、供应链金融,business_overview、core_competitiveness、r_and_d、management_discussion,4,-0.450372,5
300663.SZ,工程与基础设施,0.45999033333333333,金融云、云计算,core_competitiveness、r_and_d、management_discussion,5,-0.125821,4
300674.SZ,人工智能基础,0.553773,深度学习、AIGC、人工智能,r_and_d,1,0.974444,1
300674.SZ,工程与基础设施,0.5351598,金融云、AIOps、云计算,business_overview、core_competitiveness、r_and_d,2,0.430488,3
300674.SZ,金融业务场景,0.518483,银行IT、核心银行系统、信贷风控、授信审批、合规科技、信用评分、监管科技、数字银行、财务SaaS、供应链金融、RPA、资产管理、财富管理、业财一体化、量化投资、财务共享,business_overview、core_competitiveness、r_and_d、management_discussion,3,0.558609,2
300674.SZ,数据与安全,0.518275875,数据质量、主数据管理、金融大数据、智能合约、数据资产,business_overview、core_competitiveness、r_and_d、management_discussion,4,0.42844,4
300674.SZ,大模型与语言技术,0.4946485,智能客服、提示工程、文本摘要,core_competitiveness、r_and_d、management_discussion,5,0.257441,5
300872.SZ,人工智能基础,0.524751,人工智能,business_overview,1,0.8694,1
300872.SZ,金融业务场景,0.5033515185185186,核心银行系统、银行IT、数字银行、智能交易、财务SaaS、信贷风控、业财一体化、量化投资、财富管理、资产管理、财务共享,business_overview、core_competitiveness、r_and_d、management_discussion,2,-0.059011,5
300872.SZ,工程与基础设施,0.4976908,金融云、云计算、国产化,business_overview、core_competitiveness、r_and_d、management_discussion,3,0.15319,4
300872.SZ,大模型与语言技术,0.485408,提示工程,core_competitiveness、r_and_d,4,0.186152,3
300872.SZ,视觉与智能决策,0.48141100000000003,推荐系统,business_overview、core_competitiveness、r_and_d,5,0.665782,2
300872.SZ,数据与安全,0.48059399999999997,金融大数据、主数据管理、数据质量、数据资产,business_overview、core_competitiveness、r_and_d、management_discussion,6,-0.869045,6
600446.SH,人工智能基础,0.575102,人工智能,core_competitiveness,1,1.051643,1
600446.SH,金融业务场景,0.5269465172413793,数字银行、银行IT、核心银行系统、合规科技、量化投资、绿色金融、手机银行、供应链金融、智能交易、智能理赔、智能投顾、智能风控、信贷风控、支付清算、资产管理、财务SaaS、信用评分、保险科技,business_overview、core_competitiveness、r_and_d、management_discussion,2,0.904063,2
600446.SH,数据与安全,0.5199094,金融大数据、数据资产、数据质量、智能合约、多方安全计算,business_overview、core_competitiveness、r_and_d、management_discussion,3,0.484687,3
600446.SH,大模型与语言技术,0.51484375,智能客服、智能问答、提示工程,core_competitiveness、management_discussion,4,0.413244,4
600446.SH,工程与基础设施,0.51303775,金融云、AIOps,business_overview、core_competitiveness、r_and_d、management_discussion,5,0.266769,5
600570.SH,工程与基础设施,0.5291535,金融云、AIOps,r_and_d,1,0.386037,2
600570.SH,金融业务场景,0.4918182307692307,资产管理、业财一体化、支付清算、量化投资、信用评分、数字银行、核心银行系统、财务SaaS、信贷风控、财富管理、授信审批、贷后管理、开放银行、银行IT、供应链金融、财务共享,business_overview、core_competitiveness、r_and_d、management_discussion,2,-0.529764,3
600570.SH,数据与安全,0.470427,数据资产、流式计算、金融大数据、安全运营、智能合约,business_overview、r_and_d、management_discussion,3,-1.219121,5
600570.SH,视觉与智能决策,0.422437,推荐系统,management_discussion,4,0.41847,1
603927.SH,人工智能基础,0.546036,人工智能,core_competitiveness,1,0.94644,1
603927.SH,数据与安全,0.52763625,数据质量、主数据管理、身份认证、智能合约、多方安全计算、金融大数据、数据资产,business_overview、core_competitiveness、r_and_d、management_discussion,2,0.750743,4
603927.SH,视觉与智能决策,0.527419,推荐系统,business_overview、core_competitiveness、r_and_d,3,0.858719,2
603927.SH,金融业务场景,0.5253751333333333,资产管理、合规科技、监管科技、授信审批、财务SaaS、核心银行系统、银行IT、贷后管理、保险科技、智能风控、智能理赔、信贷风控、财务共享、财富管理,business_overview、core_competitiveness、r_and_d、management_discussion,4,0.839924,3
603927.SH,大模型与语言技术,0.5107076666666667,智能客服、提示工程,core_competitiveness、r_and_d、management_discussion,5,0.381335,5
603927.SH,工程与基础设施,0.5058779999999999,AIOps、金融云,core_competitiveness、r_and_d、management_discussion,6,0.213781,6
688590.SH,视觉与智能决策,0.5030546666666666,推荐系统,business_overview、core_competitiveness、management_discussion,1,0.756546,1
688590.SH,工程与基础设施,0.49770925,金融云、国产化、云计算,business_overview、core_competitiveness、r_and_d,2,0.153327,2
688590.SH,数据与安全,0.4961436153846154,多方安全计算、金融大数据、主数据管理、流式计算、实时计算、隐私计算、数据资产、数据质量,business_overview、core_competitiveness、r_and_d、management_discussion,3,-0.333631,4
688590.SH,金融业务场景,0.49127738461538467,信贷风控、核心银行系统、供应链金融、财务SaaS、银行IT、量化投资、资产管理、支付清算、财务共享、业财一体化、税务数字化、数字银行、数字人民币、财富管理、授信审批,business_overview、core_competitiveness、r_and_d、management_discussion,4,-0.55184,5
688590.SH,大模型与语言技术,0.4572345,提示工程、文本摘要,management_discussion,5,-0.031202,3
