company_code,company_name,job_title,posting_count,job_ids,source_sheets,source_rows,risk_score,score_repeatability,score_rule_clarity,score_data_structuredness,score_complex_communication,score_responsibility_judgment,score_compliance_trust,score_cross_function_coordination,evidence_repeatability,evidence_rule_clarity,evidence_data_structuredness,evidence_complex_communication,evidence_responsibility_judgment,evidence_compliance_trust,evidence_cross_function_coordination,risk_band,rubric
300674.SZ,宇信科技,【实习】大数据开发工程师（有转正机会）(J12571),1,JOB_0229,5-8,36,85.7,3.0,3.0,4.0,1.0,1.0,1.0,1.0,数据处理,SQL,SQL、数据仓库、数据处理,,,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
300033.SZ,同花顺,数据录入,1,JOB_0017,1-4,19,82.9,3.0,3.0,3.0,1.0,1.0,1.0,1.0,录入,SQL,SQL,,,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
300872.SZ,天阳科技,Java 开发（银行驻场）,1,JOB_0164,9-12,3,82.9,4.0,5.0,5.0,3.0,1.0,1.0,4.0,脚本、文档,流程、规范、SQL、脚本,SQL、数据库、ETL、数据建模,驻场,,,协同、驻场,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
600446.SH,金证股份,Java开发工程师（海通证券）,1,JOB_0126,1-4,130,82.9,3.0,4.0,4.0,1.0,3.0,1.0,1.0,清算,清算、SQL,SQL、交易、清算,,设计,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
600446.SH,金证股份,高级Java开发工程师（深圳国泰海通项目）,1,JOB_0129,1-4,133,82.9,1.0,4.0,4.0,1.0,1.0,1.0,1.0,,规范、SQL,SQL、数据库,,,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
603927.SH,中科软,大数据开发工程师,1,JOB_0187,9-12,26,80.0,4.0,4.0,4.0,3.0,1.0,1.0,3.0,数据处理、脚本,SQL、脚本,SQL、数据处理,沟通,,,沟通,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
300674.SZ,宇信科技,【实习】JAVA开发工程师（有转正机会）(J12753),1,JOB_0228,5-8,35,80.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,,SQL,SQL、数据库,,,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
300674.SZ,宇信科技,【校招】JAVA开发工程师(J12462),1,JOB_0224,5-8,31,80.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,,SQL,SQL、数据库,,,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
300674.SZ,宇信科技,中级系统工程师(J11841),1,JOB_0213,5-8,20,80.0,4.0,3.0,4.0,1.0,4.0,1.0,1.0,监控、运维,SQL,SQL、数据库,,策略、问题解决、管理,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
688590.SH,新致软件,中级测试工程师,1,JOB_0147,13-15,6,80.0,4.0,4.0,4.0,3.0,1.0,1.0,3.0,测试、测试用例、维护,测试、测试用例、SQL,SQL、数据库,沟通,,,沟通,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
000555.SZ,神州信息,高级java组长(J16069),1,JOB_0230,5-8,37,80.0,3.0,4.0,4.0,1.0,4.0,1.0,1.0,运维,流程、SQL,SQL、数据库,,架构、设计、需求分析,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
002230.SZ,科大讯飞,高级 Java 开发工程师（科大讯飞）,1,JOB_0151,13-15,10,80.0,3.0,5.0,3.0,1.0,4.0,1.0,1.0,测试,流程、规范、测试、SQL,SQL,,架构、方案、设计,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
300377.SZ,赢时胜,软件测试实习生,2,JOB_0198、JOB_0199,5-8,5、6,77.1,4.0,4.0,1.0,1.0,3.0,1.0,1.0,测试、测试用例,测试、测试用例,,,设计,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
300059.SZ,东方财富,Java服务端开发工程师（证券）,1,JOB_0123,1-4,126,77.1,4.0,4.0,4.0,1.0,4.0,1.0,3.0,测试、文档,测试、SQL,SQL、数据库,,架构、方案、设计,,产品,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
300033.SZ,同花顺,测试开发工程师,1,JOB_0025,1-4,27,77.1,3.0,3.0,1.0,1.0,1.0,1.0,1.0,测试,测试,,,,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
300033.SZ,同花顺,行情后台开发工程师,1,JOB_0043,1-4,45,77.1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,数据处理,,数据处理,,,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
300872.SZ,天阳科技,金融测试工程师,1,JOB_0167,9-12,6,77.1,4.0,4.0,3.0,3.0,1.0,1.0,3.0,测试、脚本,测试、SQL、脚本,SQL,沟通,,,沟通,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
688590.SH,新致软件,测试工程师,1,JOB_0145,13-15,4,77.1,3.0,3.0,1.0,1.0,1.0,1.0,1.0,测试,测试,,,,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
000555.SZ,神州信息,软件测试工程师(J22212),1,JOB_0239,5-8,46,77.1,4.0,4.0,3.0,3.0,1.0,1.0,3.0,测试、脚本,测试、SQL、脚本,SQL,沟通,,,沟通,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
600446.SH,金证股份,DevOps工程师,1,JOB_0124,1-4,128,77.1,4.0,3.0,3.0,1.0,4.0,1.0,1.0,数据处理、监控,流程,数据处理,,架构、设计、管理,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
300059.SZ,东方财富,服务端工程师 (Java),1,JOB_0111,1-4,114,74.3,1.0,3.0,4.0,1.0,3.0,1.0,1.0,,SQL,SQL、数据库,,创新,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
300059.SZ,东方财富,服务端开发工程师Java (证券交易),1,JOB_0112,1-4,115,74.3,1.0,3.0,4.0,1.0,1.0,3.0,1.0,,SQL,SQL、数据库、交易,,,证券交易,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
300872.SZ,天阳科技,ETL 开发工程师,1,JOB_0172,9-12,11,74.3,1.0,4.0,5.0,3.0,1.0,1.0,3.0,,流程、SQL,SQL、数据库、数据仓库、ETL,沟通,,,沟通,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
688590.SH,新致软件,软件测试工程师（含 4 级功能测试 / 5 级数据测试 / 4-5 级自动化测试方向）,1,JOB_0143,13-15,2,74.3,4.0,5.0,5.0,3.0,5.0,1.0,3.0,测试、脚本,流程、测试、SQL、脚本,SQL、数据库、数据仓库、ETL、数据平台,沟通,架构、方案、设计、管理,,沟通,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
002987.SZ,京北方,高级全栈开发工程师,1,JOB_0182,9-12,21,71.4,1.0,4.0,4.0,1.0,5.0,1.0,1.0,,规范、SQL,SQL、数据库,,架构、方案、设计、算法,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
300033.SZ,同花顺,AIME人才计划算法工程师,1,JOB_0027,1-4,29,71.4,3.0,1.0,3.0,1.0,3.0,1.0,1.0,数据处理,,数据处理,,算法,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
300674.SZ,宇信科技,东部数据一部服务类(J11846),1,JOB_0216,5-8,23,71.4,4.0,4.0,4.0,3.0,4.0,1.0,3.0,脚本、维护,流程、SQL、脚本,SQL、数据库、数据仓库,沟通,设计、需求分析,,沟通,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
300377.SZ,赢时胜,需求分析实习生,3,JOB_0195、JOB_0196、JOB_0197,5-8,2、3、4,68.6,4.0,4.0,4.0,3.0,4.0,1.0,4.0,清算、核算、文档,核算、清算、指标,指标、清算、核算,需求调研,设计、需求分析,,需求调研、产品,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
300033.SZ,同花顺,Java开发工程师,2,JOB_0045、JOB_0052,1-4,47、54,68.6,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,SQL,SQL,,架构,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
300059.SZ,东方财富,资深服务端开发工程师-Java (MJ00...),1,JOB_0117,1-4,120,68.6,1.0,3.0,3.0,1.0,4.0,1.0,1.0,,规范,交易,,架构、设计,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
300033.SZ,同花顺,量化策略研发工程师,1,JOB_0047,1-4,49,68.6,1.0,3.0,3.0,1.0,4.0,1.0,1.0,,SQL,SQL,,架构、设计、策略,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
300674.SZ,宇信科技,中级测试工程师(J11889),1,JOB_0218,5-8,25,68.6,4.0,4.0,3.0,3.0,4.0,1.0,3.0,测试、脚本,测试、SQL、脚本,SQL,沟通,方案、评估,,沟通,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
600570.SH,恒生电子,数据开发工程师,1,JOB_0001,1-4,2,68.6,1.0,3.0,4.0,3.0,1.0,1.0,3.0,,SQL,SQL、数据平台,沟通,,,沟通,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
688590.SH,新致软件,测试工程师（兴业银行外包）,1,JOB_0146,13-15,5,68.6,4.0,4.0,4.0,4.0,3.0,1.0,4.0,测试、维护,规范、测试、SQL,SQL、数据库,沟通、协调,管理,,协调、沟通,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
688590.SH,新致软件,测试工程师（外派保险）,1,JOB_0149,13-15,8,68.6,4.0,5.0,4.0,4.0,4.0,1.0,4.0,测试、测试用例,流程、测试、测试用例、SQL,SQL、数据库,沟通、团队协作,设计、需求分析,,团队协作、沟通,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
000555.SZ,神州信息,软件工程师(J22130),1,JOB_0240,5-8,47,68.6,4.0,3.0,4.0,3.0,4.0,1.0,3.0,部署、运维,SQL,SQL、数据库,沟通,设计、算法,,沟通,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
600446.SH,金证股份,2026届C++开发实习生,1,JOB_0140,1-4,144,68.6,1.0,3.0,4.0,3.0,1.0,1.0,3.0,,SQL,SQL、数据库,沟通,,,沟通,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
600446.SH,金证股份,C++开发工程师,1,JOB_0136,1-4,140,68.6,4.0,4.0,4.0,4.0,3.0,1.0,4.0,测试、文档、维护,测试、SQL,SQL、数据库,沟通、客户、团队协作,设计,,团队协作、客户、沟通,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
600446.SH,金证股份,C++高级开发工程师（平台/AI方向）,1,JOB_0128,1-4,132,68.6,1.0,3.0,4.0,1.0,5.0,1.0,1.0,,SQL,SQL、数据库、交易,,架构、设计、算法、管理,,,高,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。
