company_code,company_name,job_title,posting_count,job_ids,source_sheets,source_rows,risk_score,score_repeatability,score_rule_clarity,score_data_structuredness,score_complex_communication,score_responsibility_judgment,score_compliance_trust,score_cross_function_coordination,evidence_repeatability,evidence_rule_clarity,evidence_data_structuredness,evidence_complex_communication,evidence_responsibility_judgment,evidence_compliance_trust,evidence_cross_function_coordination,risk_band,rubric,ranking_group
300674.SZ,宇信科技,中级业务分析师(J11964),1,JOB_0202,5-8,9,25.7,1.0,1.0,1.0,5.0,5.0,3.0,5.0,,,,沟通、协调、售前、跨部门,方案、设计、规划、创新、需求分析,合规,跨部门、协调、沟通、产品,低,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。,最低10
300674.SZ,宇信科技,高级业务专家(J11951),1,JOB_0201,5-8,8,31.4,1.0,1.0,1.0,5.0,5.0,1.0,5.0,,,,沟通、协调、售前、跨部门,方案、设计、规划、创新、领导、管理,,跨部门、协调、沟通、产品,低,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。,最低10
688590.SH,新致软件,AI 产品经理,1,JOB_0148,13-15,7,31.4,1.0,1.0,1.0,4.0,5.0,3.0,4.0,,,,协调、跨团队,方案、设计、规划、管理,支付,跨团队、协调、产品,低,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。,最低10
603927.SH,中科软,业务经理,1,JOB_0194,9-12,33,37.1,1.0,1.0,1.0,5.0,3.0,1.0,5.0,,,,沟通、协调、客户、商务、对接,策略,,对接、客户、协调、沟通、商务,中,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。,最低10
300674.SZ,宇信科技,高级业务专家,1,JOB_0200,5-8,7,37.1,1.0,1.0,1.0,4.0,5.0,1.0,4.0,,,,客户、售前,方案、设计、规划、创新、研究、用户体验、领导,,客户、产品,中,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。,最低10
300059.SZ,东方财富,AI Agent 架构师 (MJ002936),1,JOB_0116,1-4,119,40.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,,,,沟通、协调、跨团队,架构、设计、规划,,跨团队、协调、沟通,中,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。,最低10
603927.SH,中科软,UI 设计师,1,JOB_0192,9-12,31,40.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,,,,沟通、交付,设计、用户体验,,交付、沟通,中,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。,最低10
603927.SH,中科软,运营副总,1,JOB_0193,9-12,32,40.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,,,,沟通、商务、谈判,规划、领导、管理,,沟通、商务,中,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。,最低10
300674.SZ,宇信科技,信贷业务专家(J11646),1,JOB_0209,5-8,16,40.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,,,,沟通、售前,方案、设计、管理,,项目管理、沟通、产品,中,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。,最低10
300674.SZ,宇信科技,高级UED设计师(J11847),1,JOB_0214,5-8,21,40.0,1.0,1.0,1.0,3.0,5.0,1.0,4.0,,,,沟通,方案、设计、创新、用户体验,,沟通、产品,中,七维等权研究设计：任务重复性、规则明确性、数据结构化程度为正向项；复杂沟通、责任判断、合规或信任责任、跨部门协调为反向项。每项按命中词数映射为1/3/4/5分（0/1/2-3/4个及以上）；替代风险评分=100*[三项正向得分之和+四项(6-反向得分)之和]/35。评分仅反映本研究词典与岗位文本下的任务自动化潜力，不是实际替代概率。,最低10
