company_code,company_name,screenshot_page,source_filename,local_path,sha256,page_title,identified_product_entities,explicit_ai_terms,review_outcome,review_note
002987.SZ,京北方,6,11.京北方-截图6.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图6.jpeg,9885256040655a527693948a023810e043ea7c7f61b63a39abfb0808f72da95c,运营类,集约化运营系统（含集中授权）；数字化运营管理平台；事后监督系统；运营风险监控系统,AI-OCR；计算机视觉；OCR；AI；机器学习,included_financial_ai_entity,四项运营产品分别出现 AI-OCR、计算机视觉、OCR/AI 和机器学习风险模型证据。
002987.SZ,京北方,7,11.京北方-截图7.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图7.jpeg,dd102c8aee99da2da7408e5de7d90745a09060794df17780567749337d2d449f,渠道类,,智能化,no_distinct_financial_ai_entity,页面为移动银行、网上银行等渠道产品，出现“智能化”表述但未给出明确 AI 技术证据。
002987.SZ,京北方,8,11.京北方-截图8.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图8.jpeg,d01e108b5afdf52f1cea08887ebc22fcfe1fcea46cc744055022aaf2c43335a8,资产管理及同业类,资产管理系统；理财销售系统；基金代销系统,人工智能；AI模型；OCR；NLP；智能推荐,included_financial_ai_entity,资管、理财销售和基金代销产品页面分别出现 AI 模型、OCR/NLP 与智能推荐。
002987.SZ,京北方,9,11.京北方-截图9.jpeg,data/raw/product_page_screenshots/002987.SZ/11.京北方-截图9.jpeg,0b0a8fc96b9e9a48a80f69d179f94f929efd8f2acf3f71869932ce04ec484e91,供应链金融及信贷类,供应链金融服务平台,人工智能；OCR,included_financial_ai_entity,供应链金融服务平台页面明确出现人工智能、合同审查与 OCR。
300663.SZ,科蓝软件,1,10.科蓝软件-截图.jpeg,data/raw/product_page_screenshots/300663.SZ/10.科蓝软件-截图.jpeg,a4a2965ed1ac0c6588357330aecfec0a60aabecb6116a8790567778cb10f0f29,科蓝软件产品与解决方案,AI原生手机银行；智能高柜数字机器人“小蓝”；Galaxy OCR证件识别,AI原生；数字机器人；OCR,included_financial_ai_entity,页面同时展示具体金融产品实体及 AI/OCR/数字机器人技术描述。
300872.SZ,天阳科技,1,9.天阳科技-截图1.jpeg,data/raw/product_page_screenshots/300872.SZ/9.天阳科技-截图1.jpeg,64cbc9d78be58fba84d918c92b4d147c958e162f5ad56d6eab1d2fee377a50c7,金融科技产品,,大数据,no_distinct_financial_ai_entity,产品总览展示多类金融科技产品，但本页未给出可与明确 AI 证据一一对应的独立产品实体。
300872.SZ,天阳科技,2,9.天阳科技-截图2.jpeg,data/raw/product_page_screenshots/300872.SZ/9.天阳科技-截图2.jpeg,8c71360e2ffa6034a79469cd9b885e0c739b27e862ebc372a9f173cc3f4f5f48,金融 IT 服务,,AI；大数据,no_distinct_financial_ai_entity,服务介绍含 AI 等技术语境，但未列出独立金融 AI 产品名称。
300872.SZ,天阳科技,3,9.天阳科技-截图3.jpeg,data/raw/product_page_screenshots/300872.SZ/9.天阳科技-截图3.jpeg,d897a4c57340ec312c41eea53d507d76dbffc786e6ca184c8185158a2e8c815a,云计算,,RPA；大数据,no_distinct_financial_ai_entity,页面列示云计算、大数据和 RPA 方案；RPA 未在本页与独立金融 AI 产品实体形成明确对应，故不入图。
300872.SZ,天阳科技,4,9.天阳科技-截图4.jpeg,data/raw/product_page_screenshots/300872.SZ/9.天阳科技-截图4.jpeg,97d4760acdf9f0f91d74147e74f698a6e4fdfbdbd5828c5e405f5239e0870a47,运营服务,,,no_distinct_financial_ai_entity,运营服务页面未出现可确认的独立金融 AI 产品实体。
300872.SZ,天阳科技,5,9.天阳科技-截图5.jpeg,data/raw/product_page_screenshots/300872.SZ/9.天阳科技-截图5.jpeg,93f00203dbc89306c3bc33ddabbcb756d9065e96459c163fe8d04507ec879501,咨询服务,,,no_distinct_financial_ai_entity,咨询服务页面未出现可确认的独立金融 AI 产品实体。
603927.SH,中科软,1,12.中科软-截图1.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图1.jpeg,1f7cbf3dc93af1c6058268991d25cee5befb614de2d14585e8bd0f223c17fea5,财产保险,人工智能平台,人工智能,included_financial_ai_entity,财产保险产品体系中明确列出人工智能平台，属于保险业务范围。
603927.SH,中科软,10,12.中科软-截图10.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图10.jpeg,64d3b870b28450152f30f837aacabae49b77f52a5390ec302fbde59af637cbe8,交通领域,,,explicit_ai_but_non_financial_scope,交通领域页面不属于本研究的金融业务产品范围。
603927.SH,中科软,11,12.中科软-截图11.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图11.jpeg,baca03f4f81e186e1e5946d75665ca272a4d4097924bbe97a84c82c184a0472e,民航领域,,智能安检,explicit_ai_but_non_financial_scope,民航领域页面不属于本研究的金融业务产品范围。
603927.SH,中科软,12,12.中科软-截图12.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图12.jpeg,dcb8befa0f41d941d0ba73aaefa9700a0a6b73a9af68399588d49623db718636,纪检监察,,智能化,explicit_ai_but_non_financial_scope,纪检监察业务页面不属于本研究的金融业务产品范围。
603927.SH,中科软,13,12.中科软-截图13.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图13.jpeg,b18d201c3d09bf30d774c6b16466cbf50cfbe51980cd88d12c36f52c9a319b20,组工行业,,大数据；人工智能,explicit_ai_but_non_financial_scope,组工行业页面虽出现大数据人工智能，但不属于金融业务产品范围。
603927.SH,中科软,14,12.中科软-截图14.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图14.jpeg,305ebed595e6c549a5dfbcfb644dc64cf84710409eefbe589e64e4928da1878c,企业信息化,,,no_distinct_financial_ai_entity,页面提及服务金融保险客户，但未出现明确 AI 技术证据与独立金融产品实体的组合。
603927.SH,中科软,2,12.中科软-截图2.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图2.jpeg,362057854ff975063e7ce6b139cfcf51e3801dc1b11a3c63a3a64b866e2a6797,人寿保险,,商业智能,no_distinct_financial_ai_entity,寿险产品目录出现商业智能表述，但未给出明确 AI 技术证据与独立实体的组合。
603927.SH,中科软,3,12.中科软-截图3.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图3.jpeg,8c0acd0c1937bce42b376af3d921a0daaba36b392a7467f2d6ec7e24265db492,健康医疗,,智能诊断,explicit_ai_but_non_financial_scope,中医智能诊断系统属于医疗场景，不纳入金融 AI 产品图谱。
603927.SH,中科软,4,12.中科软-截图4.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图4.jpeg,c060cae94a0081f125840635966f96cb6be48538ae394f7b76196f043994e97b,政府领域,,,no_distinct_financial_ai_entity,政府领域页面未出现可确认的金融 AI 产品实体。
603927.SH,中科软,5,12.中科软-截图5.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图5.jpeg,7385c7f85555a8245e501bf6d32ce4726505f601f6e7b2a743958265ac14037a,金融领域,,商业智能；智能报表,no_distinct_financial_ai_entity,金融领域产品目录未给出明确 AI 技术证据与独立产品实体的组合。
603927.SH,中科软,6,12.中科软-截图6.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图6.jpeg,c9b58d0ed6dce45641cc7c688327ad83224eaad3b163ddfbf4199d8fe97ac134,媒体领域,,,explicit_ai_but_non_financial_scope,媒体领域页面不属于本研究的金融业务产品范围。
603927.SH,中科软,7,12.中科软-截图7.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图7.jpeg,1d1fcb45e91170726d48aff5da4f28bfc963e3974883c9dda163743c5f44059e,能源领域,,,explicit_ai_but_non_financial_scope,能源领域页面不属于本研究的金融业务产品范围。
603927.SH,中科软,8,12.中科软-截图8.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图8.jpeg,b2165bb57cc5cf599d47db8bd7f9cdaca9424bc02a1b5da62a628db010898b6e,邮政领域,,,explicit_ai_but_non_financial_scope,邮政领域页面不属于本研究的金融业务产品范围。
603927.SH,中科软,9,12.中科软-截图9.jpeg,data/raw/product_page_screenshots/603927.SH/12.中科软-截图9.jpeg,2d7f1d16b47365d747323b0a83099ae63a3f8b92a5f4885a81db41de22076cdb,呼叫中心,,,explicit_ai_but_non_financial_scope,呼叫中心页面未限定为金融业务场景，故不纳入金融 AI 产品实体。
