keyword,category,definition,source_type,source_reference,verified_by,verified_date
云原生,工程与基础设施,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
云计算,工程与基础设施,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
低代码,工程与基础设施,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
信创,工程与基础设施,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
分布式架构,工程与基础设施,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
国产化,工程与基础设施,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
容器化,工程与基础设施,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
容灾备份,工程与基础设施,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
微服务,工程与基础设施,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
数字孪生,工程与基础设施,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
服务网格,工程与基础设施,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
边缘计算,工程与基础设施,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
运维自动化,工程与基础设施,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
金融云,工程与基础设施,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
高可用,工程与基础设施,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
主数据管理,数据与安全,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
分布式账本,数据与安全,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
区块链,数据与安全,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
同态加密,数据与安全,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
多方安全计算,数据与安全,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
安全运营,数据与安全,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
实时计算,数据与安全,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
密码技术,数据与安全,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
数据中台,数据与安全,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
数据仓库,数据与安全,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
数据治理,数据与安全,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
数据湖,数据与安全,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
数据脱敏,数据与安全,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
数据血缘,数据与安全,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
数据质量,数据与安全,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
数据资产,数据与安全,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
智能合约,数据与安全,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
流式计算,数据与安全,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
网络安全,数据与安全,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
联邦建模,数据与安全,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
身份认证,数据与安全,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
金融大数据,数据与安全,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
隐私计算,数据与安全,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
零信任,数据与安全,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
人脸识别,视觉与智能决策,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
决策引擎,视觉与智能决策,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
因果推断,视觉与智能决策,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
图像识别,视觉与智能决策,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
图神经网络,视觉与智能决策,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
异常检测,视觉与智能决策,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
推荐系统,视觉与智能决策,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
数字人,视觉与智能决策,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
时序预测,视觉与智能决策,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
活体检测,视觉与智能决策,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
知识图谱,视觉与智能决策,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
行为识别,视觉与智能决策,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
规则引擎,视觉与智能决策,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
计算机视觉,视觉与智能决策,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
预测模型,视觉与智能决策,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
RPA,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
业财一体化,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
供应链金融,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
保险科技,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
信用评分,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
信贷风控,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
反欺诈,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
反洗钱,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
合规科技,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
开放银行,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
手机银行,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
授信审批,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
支付清算,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
数字人民币,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
数字银行,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
智能交易,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
智能投顾,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
智能理赔,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
智能风控,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
核心银行系统,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
监管科技,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
税务数字化,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
绿色金融,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
财务SaaS,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
财务共享,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
财富管理,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
贷后管理,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
资产管理,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
跨境支付,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
量化投资,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
银行IT,金融业务场景,研究者编制的检索词；用于文本匹配，不代表公司实际采用该技术。,researcher_curated,课程作业研究词库 v1,待双人复核,
